date,symbol,open,high,low,close,volume,turnover
2024-01-02,002642.SZ,8.48,8.68,8.35,8.48,741250.0,627521234.84
2024-01-03,002642.SZ,8.43,8.46,8.17,8.24,399419.0,330502285.26
2024-01-04,002642.SZ,8.24,8.36,8.07,8.25,315956.0,259729147.6
2024-01-05,002642.SZ,8.14,8.2,7.8,7.85,375289.0,299246955.0
2024-01-08,002642.SZ,7.91,7.95,7.62,7.64,203644.0,157424652.4
2024-01-09,002642.SZ,7.62,7.72,7.45,7.54,194305.0,147584821.0
2024-01-10,002642.SZ,7.44,7.49,7.11,7.12,275730.0,198442734.76
2024-01-11,002642.SZ,7.09,7.63,7.07,7.59,383056.0,284407767.1
2024-01-12,002642.SZ,7.59,7.61,7.32,7.33,240769.0,178850543.5
2024-01-15,002642.SZ,7.32,7.32,7.2,7.24,132568.0,96162527.0
2024-01-16,002642.SZ,7.22,7.24,7.05,7.21,166817.0,118871309.0
2024-01-17,002642.SZ,7.2,7.21,6.99,6.99,151093.0,107020738.0
2024-01-18,002642.SZ,6.97,7.02,6.76,7.0,210357.0,144633471.0
2024-01-19,002642.SZ,7.01,7.06,6.8,6.8,143654.0,99150680.8
2024-01-22,002642.SZ,6.8,6.85,6.33,6.4,195620.0,128966777.0
2024-01-23,002642.SZ,6.4,6.46,6.28,6.38,160734.0,102428189.0
2024-01-24,002642.SZ,6.45,6.55,6.23,6.5,199482.0,128074291.0
2024-01-25,002642.SZ,6.51,6.73,6.44,6.72,206525.0,136894880.98
2024-01-26,002642.SZ,6.71,6.94,6.67,6.78,225804.0,153960418.0
2024-01-29,002642.SZ,6.77,6.83,6.45,6.45,174955.0,115247431.0
2024-01-30,002642.SZ,6.33,6.52,6.22,6.24,125663.0,79984401.0
2024-01-31,002642.SZ,6.0,6.11,5.63,5.66,334504.0,195402842.0
2024-02-01,002642.SZ,5.62,5.73,5.45,5.57,198817.0,111278387.0
2024-02-02,002642.SZ,5.62,5.76,5.02,5.26,243433.0,130952691.82
2024-02-05,002642.SZ,5.19,5.21,4.73,4.73,240468.0,115579872.4
2024-02-06,002642.SZ,4.33,4.78,4.26,4.5,422739.0,186204029.49
2024-02-07,002642.SZ,4.58,4.6,4.28,4.37,320107.0,142424101.54
2024-02-08,002642.SZ,4.39,4.81,4.35,4.81,338483.0,156243387.92
2024-02-19,002642.SZ,5.08,5.29,4.98,5.29,296388.0,153836753.88
2024-02-20,002642.SZ,5.28,5.62,5.25,5.4,460133.0,248823334.04
2024-02-21,002642.SZ,5.32,5.85,5.23,5.57,483503.0,269853610.0
2024-02-22,002642.SZ,5.65,6.02,5.59,5.97,524456.0,305394919.0
2024-02-23,002642.SZ,6.01,6.17,5.87,6.13,499504.0,301124779.0
2024-02-26,002642.SZ,6.13,6.38,6.03,6.24,442006.0,274592369.5
2024-02-27,002642.SZ,6.2,6.52,6.15,6.51,378385.0,240331337.46
2024-02-28,002642.SZ,6.55,6.73,5.88,5.91,628722.0,398453108.5
2024-02-29,002642.SZ,5.74,6.22,5.73,6.2,350374.0,213595007.0
2024-03-01,002642.SZ,6.23,6.46,6.23,6.4,308657.0,195876790.5
2024-03-04,002642.SZ,6.48,6.58,6.32,6.55,393580.0,255274946.52
2024-03-05,002642.SZ,6.48,6.77,6.28,6.4,454738.0,294280513.5
2024-03-06,002642.SZ,6.39,6.95,6.33,6.74,723485.0,483622642.5
2024-03-07,002642.SZ,7.37,7.41,7.08,7.41,1045190.0,770370592.59
