date,symbol,open,high,low,close,volume,turnover
2024-01-02,002594.SZ,64.18,64.18,61.77,61.84,113928.0,2212162400.36
2024-01-03,002594.SZ,61.81,62.27,61.21,62.03,84486.0,1624093056.05
2024-01-04,002594.SZ,62.42,62.53,61.34,61.98,89870.0,1731882120.2
2024-01-05,002594.SZ,61.8,63.48,61.35,61.87,112402.0,2187835615.06
2024-01-08,002594.SZ,61.91,62.2,60.69,60.78,81078.0,1543893918.74
2024-01-09,002594.SZ,61.31,62.98,61.04,61.93,112187.0,2167747851.79
2024-01-10,002594.SZ,61.54,62.08,60.84,61.07,71416.0,1364589161.69
2024-01-11,002594.SZ,61.04,63.88,60.58,63.24,159862.0,3120354835.76
2024-01-12,002594.SZ,63.24,63.73,62.74,62.93,87023.0,1711086655.61
2024-01-15,002594.SZ,62.55,63.31,61.78,62.51,70220.0,1364639692.18
2024-01-16,002594.SZ,62.28,63.16,62.0,62.74,83809.0,1633959522.52
2024-01-17,002594.SZ,62.38,62.49,59.91,59.91,160795.0,3050944390.44
2024-01-18,002594.SZ,59.53,61.31,59.28,61.14,114592.0,2150839668.13
2024-01-19,002594.SZ,60.81,61.96,60.54,60.76,80905.0,1540978198.75
2024-01-22,002594.SZ,60.6,61.41,59.16,59.42,132240.0,2487370788.56
2024-01-23,002594.SZ,59.31,60.63,59.08,60.26,110726.0,2072060503.59
2024-01-24,002594.SZ,60.74,60.93,59.0,60.54,96641.0,1805379382.4
2024-01-25,002594.SZ,60.6,61.28,59.53,60.94,130769.0,2470818453.07
2024-01-26,002594.SZ,60.64,60.64,59.48,59.6,115855.0,2160578276.22
2024-01-29,002594.SZ,59.61,59.64,57.08,57.12,146043.0,2647388165.71
2024-01-30,002594.SZ,55.34,56.14,54.41,54.97,190761.0,3296016841.46
2024-01-31,002594.SZ,54.67,56.07,54.42,54.55,125368.0,2155163736.0
2024-02-01,002594.SZ,54.31,55.31,53.76,54.61,116651.0,1996429636.62
2024-02-02,002594.SZ,54.63,54.94,51.98,53.31,147992.0,2485326236.05
2024-02-05,002594.SZ,52.64,54.9,51.9,53.64,186216.0,3122618402.6
2024-02-06,002594.SZ,52.98,56.35,52.81,56.27,176190.0,3054635572.85
2024-02-07,002594.SZ,56.73,58.64,56.34,57.5,160094.0,2880398921.91
2024-02-08,002594.SZ,58.14,58.76,57.88,58.03,119246.0,2168509150.22
2024-02-19,002594.SZ,58.94,59.43,58.26,58.81,119687.0,2192419553.49
2024-02-20,002594.SZ,58.81,58.87,56.64,57.32,113357.0,2023820071.64
2024-02-21,002594.SZ,56.68,59.51,56.53,58.64,147693.0,2700340930.5
2024-02-22,002594.SZ,58.61,58.86,58.06,58.64,80906.0,1476863326.44
2024-02-23,002594.SZ,58.64,58.97,57.92,58.54,91175.0,1660682308.43
2024-02-26,002594.SZ,59.64,61.02,59.49,59.64,155461.0,2912982360.47
2024-02-27,002594.SZ,60.13,62.29,60.04,62.21,206343.0,3958101886.88
2024-02-28,002594.SZ,62.98,63.15,60.31,60.31,168292.0,3223632042.64
2024-02-29,002594.SZ,59.98,61.51,59.71,61.38,122363.0,2323915656.97
2024-03-01,002594.SZ,61.28,61.97,60.57,61.7,122158.0,2336111333.57
2024-03-04,002594.SZ,60.98,61.54,60.34,60.73,126865.0,2401200046.06
2024-03-05,002594.SZ,60.14,61.53,59.48,61.25,149624.0,2826124074.26
2024-03-06,002594.SZ,60.98,61.97,60.64,61.53,100100.0,1914828108.58
2024-03-07,002594.SZ,61.66,62.3,60.58,60.61,101327.0,1935953171.65
2024-03-08,002594.SZ,60.41,61.03,60.06,60.34,67150.0,1263993368.05
2024-03-11,002594.SZ,60.31,64.28,60.31,63.89,278080.0,5440726382.81
2024-03-12,002594.SZ,64.64,66.53,63.57,66.01,245029.0,4958824423.44
2024-03-13,002594.SZ,66.62,67.78,66.25,66.43,177813.0,3691839468.95
2024-03-14,002594.SZ,67.12,69.43,67.12,68.34,211352.0,4497086169.98
2024-03-15,002594.SZ,67.64,68.1,66.37,67.47,146628.0,3057950743.5
2024-03-18,002594.SZ,68.26,70.39,68.18,70.32,196982.0,4250885883.53
2024-03-19,002594.SZ,70.32,70.93,69.11,69.91,146973.0,3194716172.75
2024-03-20,002594.SZ,69.98,71.24,69.98,70.47,96805.0,2118610339.15
2024-03-21,002594.SZ,70.62,70.91,69.98,70.63,88667.0,1938901107.67
2024-03-22,002594.SZ,70.63,70.63,69.38,69.96,104672.0,2266796544.33
2024-03-25,002594.SZ,69.77,70.24,68.59,69.04,99109.0,2133902461.97
2024-03-26,002594.SZ,69.64,70.97,69.4,70.84,131346.0,2864082716.93
2024-03-27,002594.SZ,70.85,70.88,67.65,68.3,188849.0,4058093219.72
2024-03-28,002594.SZ,67.59,68.26,66.31,67.1,159435.0,3327175192.21
2024-03-29,002594.SZ,67.12,67.15,64.7,65.33,141381.0,2873380485.75
2024-04-01,002594.SZ,65.33,68.64,65.33,68.31,142909.0,2995671850.58
2024-04-02,002594.SZ,68.31,70.08,68.24,68.42,107585.0,2301699125.87
2024-04-03,002594.SZ,67.81,68.01,66.83,67.03,83634.0,1747159207.03
2024-04-08,002594.SZ,66.64,69.31,66.44,68.31,128227.0,2722271577.79
2024-04-09,002594.SZ,68.23,69.31,68.09,68.34,84208.0,1791256312.56
2024-04-10,002594.SZ,69.08,69.14,67.64,68.26,72411.0,1537375543.48
2024-04-11,002594.SZ,67.31,69.46,66.91,68.64,100854.0,2130444827.97
2024-04-12,002594.SZ,68.31,70.04,67.49,67.84,114918.0,2453371047.11
2024-04-15,002594.SZ,67.64,69.48,67.34,68.85,113332.0,2418635356.92
2024-04-16,002594.SZ,68.44,69.43,67.88,68.19,98323.0,2090984650.23
2024-04-17,002594.SZ,67.98,68.7,67.51,68.64,96922.0,2046775944.73
2024-04-18,002594.SZ,68.31,69.81,67.44,68.84,133998.0,2863779538.22
2024-04-19,002594.SZ,68.37,68.6,66.66,67.69,111770.0,2342512356.49
2024-04-22,002594.SZ,67.64,68.15,67.01,67.16,64695.0,1353615963.08
2024-04-23,002594.SZ,67.16,67.16,65.64,65.99,87300.0,1793533842.51
2024-04-24,002594.SZ,66.61,67.24,65.81,66.78,74979.0,1546983915.54
2024-04-25,002594.SZ,66.78,68.15,66.52,67.29,94684.0,1980120669.24
2024-04-26,002594.SZ,67.64,70.9,67.64,70.77,253454.0,5502292294.48
2024-04-29,002594.SZ,71.34,72.78,70.55,71.44,191676.0,4256800047.75
2024-04-30,002594.SZ,72.14,72.44,70.48,70.48,115560.0,2542063035.11
2024-05-06,002594.SZ,72.64,73.77,72.14,73.08,186779.0,4226418539.22
2024-05-07,002594.SZ,73.08,74.97,72.32,74.27,144190.0,3301364339.72
2024-05-08,002594.SZ,73.82,73.94,72.98,73.05,91132.0,2070673827.4
2024-05-09,002594.SZ,73.08,73.78,73.03,73.69,79007.0,1796491172.59
2024-05-10,002594.SZ,73.31,74.15,72.98,73.58,80613.0,1833828035.67
2024-05-13,002594.SZ,72.71,73.43,71.84,72.88,82481.0,1857506899.26
2024-05-14,002594.SZ,72.88,73.5,72.35,72.61,62619.0,1414943425.01
2024-05-15,002594.SZ,72.48,72.98,70.41,70.69,99734.0,2204936672.77
2024-05-16,002594.SZ,70.69,70.96,69.85,70.41,87157.0,1901165661.74
2024-05-17,002594.SZ,70.77,71.09,70.2,70.84,71487.0,1564639157.87
2024-05-20,002594.SZ,70.47,72.31,70.47,71.93,75959.0,1688534368.27
2024-05-21,002594.SZ,71.64,71.64,70.12,70.57,84080.0,1838619340.95
2024-05-22,002594.SZ,70.37,70.81,69.36,69.95,88398.0,1916325810.23
2024-05-23,002594.SZ,69.59,69.59,68.81,69.29,62287.0,1336506236.87
2024-05-24,002594.SZ,68.97,68.98,67.24,67.41,102876.0,2166851356.35
2024-05-27,002594.SZ,67.64,67.91,66.51,67.09,76046.0,1580461907.49
2024-05-28,002594.SZ,67.24,67.28,66.5,66.77,60946.0,1265112510.56
2024-05-29,002594.SZ,67.98,72.98,67.97,72.54,302648.0,6633165250.97
2024-05-30,002594.SZ,72.45,74.1,72.28,73.6,223792.0,5070762670.7
2024-05-31,002594.SZ,73.91,74.84,73.31,73.98,185430.0,4264400521.58
2024-06-03,002594.SZ,73.98,77.8,72.97,76.68,270146.0,6370453739.0
2024-06-04,002594.SZ,76.61,77.58,76.29,77.03,157429.0,3744672009.99
2024-06-05,002594.SZ,77.14,79.74,77.14,77.91,194434.0,4732184009.34
2024-06-06,002594.SZ,78.04,78.91,76.81,77.14,175865.0,4227834836.23
2024-06-07,002594.SZ,77.32,78.11,75.02,76.14,182594.0,4304211408.71
2024-06-11,002594.SZ,75.85,79.64,75.75,79.19,221597.0,5386278075.64
2024-06-12,002594.SZ,78.19,80.16,78.19,78.61,187332.0,4573251956.69
2024-06-13,002594.SZ,80.58,83.74,80.35,81.97,292519.0,7423395269.91
2024-06-14,002594.SZ,81.47,82.29,79.82,81.99,202610.0,5066109116.72
2024-06-17,002594.SZ,81.64,84.27,81.27,83.38,208649.0,5371512599.82
2024-06-18,002594.SZ,82.84,83.41,81.98,82.86,128789.0,3282495366.5
2024-06-19,002594.SZ,82.98,83.64,82.11,82.31,99108.0,2529117363.53
2024-06-20,002594.SZ,81.94,82.23,80.74,81.48,116200.0,2921098947.88
2024-06-21,002594.SZ,81.64,82.43,80.25,81.2,116330.0,2916085593.76
2024-06-24,002594.SZ,80.98,82.3,80.24,80.96,108423.0,2719528810.03
2024-06-25,002594.SZ,81.64,83.89,81.1,82.31,195746.0,4998561939.22
2024-06-26,002594.SZ,81.64,82.41,80.77,81.88,111917.0,2814435213.53
2024-06-27,002594.SZ,81.32,81.76,80.45,80.81,82911.0,2074271452.09
2024-06-28,002594.SZ,80.31,81.69,79.94,81.06,92982.0,2324520983.89
2024-07-01,002594.SZ,81.06,81.59,78.48,79.91,129273.0,3179627870.49
2024-07-02,002594.SZ,79.93,80.21,78.66,78.97,102627.0,2515326294.99
2024-07-03,002594.SZ,78.96,79.44,77.64,78.68,96574.0,2340645421.07
2024-07-04,002594.SZ,79.31,80.87,79.14,79.19,99196.0,2449191850.83
2024-07-05,002594.SZ,78.7,79.14,77.27,78.32,95665.0,2308221433.2
2024-07-08,002594.SZ,78.24,80.38,78.04,79.31,105375.0,2591239966.71
2024-07-09,002594.SZ,79.38,82.15,78.15,81.84,140763.0,3506898661.22
2024-07-10,002594.SZ,81.81,83.15,81.48,81.81,109283.0,2767913672.44
2024-07-11,002594.SZ,82.64,83.06,81.54,82.0,100359.0,2546645361.94
2024-07-12,002594.SZ,82.15,85.64,81.61,85.18,188863.0,4891988725.17
2024-07-15,002594.SZ,85.08,85.91,84.51,84.88,98716.0,2590423501.88
2024-07-16,002594.SZ,84.51,85.04,83.09,83.97,117588.0,3043326155.82
2024-07-17,002594.SZ,83.98,84.82,83.18,84.15,105192.0,2726321475.46
2024-07-18,002594.SZ,83.61,85.28,83.48,84.79,95322.0,2487441703.58
2024-07-19,002594.SZ,84.48,86.31,84.22,85.66,136214.0,3593320511.78
2024-07-22,002594.SZ,85.68,87.68,85.68,86.18,100750.0,2688874276.28
2024-07-23,002594.SZ,85.97,86.11,81.98,82.05,167410.0,4318283785.42
2024-07-24,002594.SZ,82.05,82.69,80.47,80.97,118640.0,2976544505.07
2024-07-25,002594.SZ,80.97,82.49,80.14,81.11,101104.0,2533958369.11
2024-07-26,002594.SZ,81.97,83.52,81.36,82.63,124842.0,3180235006.51
2024-07-29,002594.SZ,82.99,83.01,80.87,81.71,78859.0,1960649994.07
2024-07-30,002594.SZ,81.21,81.28,79.22,79.98,110393.0,2686057413.63
2024-07-31,002594.SZ,79.55,81.35,79.53,81.03,87490.0,2153504528.39
2024-08-01,002594.SZ,81.34,81.59,78.68,80.08,103635.0,2519341335.4
2024-08-02,002594.SZ,79.34,79.43,76.88,76.94,145671.0,3453944602.55
2024-08-05,002594.SZ,75.62,77.57,75.35,75.74,105268.0,2457359662.24
2024-08-06,002594.SZ,76.68,76.88,74.0,74.99,129102.0,2955783827.37
2024-08-07,002594.SZ,75.02,75.68,74.17,74.99,82022.0,1882919963.49
2024-08-08,002594.SZ,74.61,74.61,73.18,74.16,85357.0,1925911439.18
2024-08-09,002594.SZ,74.7,77.3,74.69,75.88,119852.0,2790790707.01
2024-08-12,002594.SZ,76.01,76.51,75.18,75.48,53779.0,1242071532.34
2024-08-13,002594.SZ,75.46,75.47,74.01,74.92,60437.0,1378452593.36
2024-08-14,002594.SZ,74.88,74.88,73.74,74.21,56330.0,1276584732.1
2024-08-15,002594.SZ,74.2,76.18,73.64,75.84,88545.0,2039684342.39
2024-08-16,002594.SZ,76.05,78.12,75.51,77.05,102219.0,2406276093.84
2024-08-19,002594.SZ,77.09,78.34,77.01,77.15,70182.0,1662452527.07
2024-08-20,002594.SZ,77.34,77.79,76.49,77.5,62484.0,1475807675.68
2024-08-21,002594.SZ,76.9,79.72,76.01,79.01,111043.0,2658947673.91
2024-08-22,002594.SZ,79.01,79.6,78.55,78.85,62488.0,1506260848.31
2024-08-23,002594.SZ,78.61,79.11,78.06,78.46,49786.0,1193437029.74
2024-08-26,002594.SZ,78.51,79.68,77.91,78.48,56513.0,1354660288.18
2024-08-27,002594.SZ,77.85,79.1,77.51,78.94,50926.0,1219258016.16
2024-08-28,002594.SZ,78.77,78.77,76.28,77.63,89041.0,2098577189.51
2024-08-29,002594.SZ,76.45,77.51,75.78,76.96,79385.0,1858678051.41
2024-08-30,002594.SZ,78.0,82.61,77.76,81.82,193028.0,4764660206.01
2024-09-02,002594.SZ,81.35,82.15,79.01,79.04,101135.0,2468600915.45
2024-09-03,002594.SZ,78.81,81.16,78.81,81.04,101820.0,2497421913.25
2024-09-04,002594.SZ,80.51,82.64,80.49,82.12,100606.0,2506778350.99
2024-09-05,002594.SZ,82.01,83.88,81.88,82.96,100126.0,2542189362.96
2024-09-06,002594.SZ,82.96,83.71,82.48,82.54,78142.0,1982245013.05
2024-09-09,002594.SZ,81.84,83.33,81.54,82.0,70851.0,1774845243.84
2024-09-10,002594.SZ,82.01,82.94,81.55,81.89,61248.0,1533462723.87
2024-09-11,002594.SZ,82.01,85.54,81.82,84.71,155361.0,4001603969.48
2024-09-12,002594.SZ,84.91,85.34,84.34,84.35,77251.0,1995755898.51
2024-09-13,002594.SZ,84.41,84.68,83.63,83.67,56992.0,1458587905.76
2024-09-18,002594.SZ,83.68,85.12,83.38,84.82,66820.0,1715595537.64
2024-09-19,002594.SZ,85.01,85.14,83.11,83.8,91043.0,2326365318.9
2024-09-20,002594.SZ,83.8,84.94,82.97,84.04,89898.0,2292829764.93
2024-09-23,002594.SZ,83.99,84.33,81.61,82.01,107583.0,2712153559.79
2024-09-24,002594.SZ,83.01,83.84,80.93,83.44,156495.0,3949080823.05
2024-09-25,002594.SZ,84.68,88.56,84.56,86.28,205710.0,5442651982.01
2024-09-26,002594.SZ,86.68,88.58,86.04,88.55,149066.0,3960197853.87
2024-09-27,002594.SZ,89.68,96.01,89.18,93.34,309922.0,8683447958.42
2024-09-30,002594.SZ,95.34,101.37,95.34,101.11,388805.0,11640545413.1
2024-10-08,002594.SZ,111.36,111.36,101.11,107.8,443439.0,14484952068.34
2024-10-09,002594.SZ,103.68,105.58,98.84,100.57,325919.0,10166970123.49
2024-10-10,002594.SZ,102.01,106.01,102.0,103.97,250167.0,7918647495.83
2024-10-11,002594.SZ,103.35,103.35,97.35,98.69,186418.0,5671879376.72
2024-10-14,002594.SZ,99.01,102.0,98.74,101.01,172365.0,5268100404.73
2024-10-15,002594.SZ,100.51,101.47,98.01,98.01,122149.0,3695577335.23
2024-10-16,002594.SZ,96.34,97.34,94.34,95.27,150322.0,4362898826.78
2024-10-17,002594.SZ,96.18,97.96,95.05,95.15,102457.0,3005198739.74
2024-10-18,002594.SZ,95.16,100.74,94.7,98.78,191092.0,5674148204.69
2024-10-21,002594.SZ,99.68,101.54,98.98,100.83,157816.0,4819617233.25
2024-10-22,002594.SZ,100.34,102.05,99.68,100.26,103733.0,3174859558.84
2024-10-23,002594.SZ,100.26,102.61,99.57,101.64,126695.0,3911383612.4
2024-10-24,002594.SZ,101.64,102.0,99.54,99.9,96885.0,2959755260.68
2024-10-25,002594.SZ,100.01,102.61,100.01,101.39,139820.0,4306245200.84
2024-10-28,002594.SZ,101.68,101.68,99.26,100.38,109324.0,3323177977.18
2024-10-29,002594.SZ,101.68,102.1,99.94,100.48,118546.0,3635542203.37
2024-10-30,002594.SZ,99.68,101.18,99.18,100.53,108448.0,3301164357.47
2024-10-31,002594.SZ,99.35,99.67,96.34,96.41,240852.0,7127704551.25
2024-11-01,002594.SZ,96.41,97.21,95.38,95.45,143041.0,4174457395.28
2024-11-04,002594.SZ,97.34,101.65,97.21,101.0,217319.0,6600399617.25
2024-11-05,002594.SZ,100.03,101.49,98.84,101.18,167820.0,5124245708.8
2024-11-06,002594.SZ,101.34,101.93,98.01,98.8,184861.0,5611830833.85
2024-11-07,002594.SZ,97.02,99.3,96.68,99.27,150676.0,4484370171.83
2024-11-08,002594.SZ,101.05,101.18,97.68,97.98,166716.0,5022195686.37
2024-11-11,002594.SZ,97.01,98.5,96.21,98.44,180859.0,5349190917.28
2024-11-12,002594.SZ,98.73,102.01,98.45,98.95,246557.0,7520312653.8
2024-11-13,002594.SZ,98.01,99.12,97.11,98.87,145116.0,4326957543.62
2024-11-14,002594.SZ,98.68,98.78,96.68,96.93,124583.0,3690676831.42
2024-11-15,002594.SZ,96.94,97.27,94.68,95.34,153236.0,4471450174.24
2024-11-18,002594.SZ,95.35,96.33,94.23,94.9,116206.0,3364288894.42
2024-11-19,002594.SZ,94.9,95.84,92.68,94.67,131947.0,3785016710.44
2024-11-20,002594.SZ,94.68,95.48,93.84,94.83,106017.0,3049973686.34
2024-11-21,002594.SZ,94.83,94.84,93.34,94.01,95533.0,2727230001.41
2024-11-22,002594.SZ,93.84,93.96,91.34,91.51,125142.0,3529973028.97
2024-11-25,002594.SZ,93.01,95.13,92.31,93.01,174533.0,4981714331.78
2024-11-26,002594.SZ,92.01,94.01,91.3,92.35,95206.0,2686423189.13
2024-11-27,002594.SZ,91.77,92.34,91.01,92.34,110003.0,3068303752.07
2024-11-28,002594.SZ,92.41,92.53,89.68,90.2,158589.0,4365779156.54
2024-11-29,002594.SZ,89.68,91.3,89.36,90.29,128005.0,3516186178.74
2024-12-02,002594.SZ,90.88,93.34,90.04,92.81,151357.0,4255616768.38
2024-12-03,002594.SZ,93.61,93.97,92.2,92.89,91450.0,2585320048.37
2024-12-04,002594.SZ,92.46,93.12,91.61,92.0,85013.0,2389151937.26
2024-12-05,002594.SZ,91.07,91.5,90.11,90.43,90268.0,2486214937.29
2024-12-06,002594.SZ,90.57,92.67,90.01,92.1,124698.0,3469413044.88
2024-12-09,002594.SZ,91.75,93.34,91.24,92.17,92153.0,2590143544.39
2024-12-10,002594.SZ,96.34,96.68,92.68,92.86,175929.0,5057037510.83
2024-12-11,002594.SZ,92.69,93.3,91.81,92.27,93360.0,2623997225.72
2024-12-12,002594.SZ,92.04,93.24,91.48,93.24,100134.0,2816818034.74
2024-12-13,002594.SZ,92.45,92.55,90.82,90.85,112359.0,3130392699.07
2024-12-16,002594.SZ,90.85,91.4,89.87,90.33,71490.0,1967314539.05
2024-12-17,002594.SZ,90.32,93.9,90.0,92.94,175682.0,4960329885.56
