date,symbol,open,high,low,close,volume,turnover
2026-03-09,920036.SH,48.8,49.66,40.88,41.3,116067.0,506360260.89
2026-03-10,920036.SH,40.0,53.69,40.0,53.69,99099.0,473520704.5
2026-03-11,920036.SH,55.0,67.5,54.19,57.0,102686.0,610743863.26
2026-03-12,920036.SH,55.5,61.8,55.01,61.8,77723.0,453328475.36
2026-03-13,920036.SH,59.0,59.5,53.9,55.61,61331.0,346027456.5
2026-03-16,920036.SH,53.98,53.98,50.22,52.23,44252.0,230031033.82
2026-03-17,920036.SH,52.55,65.0,52.3,60.18,79983.0,460016214.18
2026-03-18,920036.SH,58.0,58.79,55.06,58.32,51400.0,292105270.53
2026-03-19,920036.SH,56.0,56.8,54.12,54.5,39284.0,217302361.72
2026-03-20,920036.SH,55.02,55.68,50.8,51.33,34899.0,183021205.31
2026-03-23,920036.SH,48.0,50.88,47.6,50.01,24154.0,118952557.22
2026-03-24,920036.SH,51.18,51.8,46.75,48.29,28754.0,139237763.83
2026-03-25,920036.SH,48.0,51.22,47.35,50.46,38598.0,189883197.09
2026-03-26,920036.SH,50.0,50.09,47.38,47.47,24523.0,118419569.36
2026-03-27,920036.SH,46.45,47.7,45.78,46.31,17134.0,79823667.05
2026-03-30,920036.SH,45.9,47.84,45.01,46.95,17077.0,79592669.63
2026-03-31,920036.SH,46.58,46.89,43.68,43.68,20793.0,93641086.95
2026-04-01,920036.SH,44.36,45.58,43.7,43.91,18334.0,81643001.94
2026-04-02,920036.SH,43.5,44.9,42.52,43.1,16806.0,73473050.08
2026-04-03,920036.SH,43.39,43.48,41.29,41.32,13097.0,54992899.26
2026-04-07,920036.SH,42.3,42.68,41.29,41.55,11995.0,50351850.73
2026-04-08,920036.SH,42.8,45.3,42.18,44.84,27302.0,120302547.64
2026-04-09,920036.SH,44.58,46.9,44.0,44.89,26312.0,118948289.71
2026-04-10,920036.SH,44.5,45.49,44.3,44.4,17600.0,78791922.95
2026-04-13,920036.SH,43.48,44.55,42.6,44.2,14030.0,60962003.64
2026-04-14,920036.SH,44.58,45.85,44.0,45.36,22340.0,100972124.16
2026-04-15,920036.SH,45.88,48.2,45.11,46.01,26790.0,124679167.01
2026-04-16,920036.SH,45.81,46.25,44.05,44.9,19707.0,88090008.83
2026-04-17,920036.SH,45.0,49.37,44.01,48.2,36643.0,170859041.78
2026-04-20,920036.SH,47.5,49.88,47.26,47.77,27680.0,134374123.93
2026-04-21,920036.SH,46.66,47.63,45.8,47.33,17925.0,83626749.96
2026-04-22,920036.SH,47.2,51.38,47.2,50.6,32980.0,163160037.74
2026-04-23,920036.SH,50.98,50.98,47.32,48.04,24946.0,121436313.12
2026-04-24,920036.SH,48.0,48.27,45.1,45.15,19377.0,89435029.3
2026-04-27,920036.SH,45.21,45.35,44.16,44.94,10945.0,48991634.28
2026-04-28,920036.SH,45.19,45.19,42.23,42.71,17953.0,77572267.32
2026-04-29,920036.SH,40.5,40.86,39.0,40.25,24356.0,96972398.75
2026-04-30,920036.SH,40.0,42.2,39.88,41.02,19088.0,78321697.91
2026-05-06,920036.SH,41.61,43.43,41.51,42.27,17695.0,75540117.06
2026-05-07,920036.SH,42.33,44.25,42.04,44.25,20582.0,89255238.47
2026-05-08,920036.SH,45.9,56.8,45.08,51.85,59628.0,309003551.54
