date,symbol,open,high,low,close,volume,turnover
2024-01-02,600984.SH,3.75,3.79,3.73,3.76,89254.0,33575445.0
2024-01-03,600984.SH,3.74,3.77,3.68,3.71,94924.0,35293595.0
2024-01-04,600984.SH,3.68,3.71,3.64,3.67,81705.0,30010880.0
2024-01-05,600984.SH,3.68,3.71,3.6,3.62,96182.0,35083174.0
2024-01-08,600984.SH,3.6,3.62,3.52,3.52,127491.0,45307855.0
2024-01-09,600984.SH,3.54,3.59,3.51,3.56,111858.0,39743114.0
2024-01-10,600984.SH,3.56,3.6,3.48,3.57,107925.0,38307349.0
2024-01-11,600984.SH,3.55,3.63,3.53,3.61,101963.0,36507107.0
2024-01-12,600984.SH,3.6,3.65,3.56,3.59,86282.0,31088599.0
2024-01-15,600984.SH,3.58,3.59,3.5,3.55,79929.0,28403268.0
2024-01-16,600984.SH,3.55,3.58,3.46,3.51,108185.0,38027441.0
2024-01-17,600984.SH,3.54,3.54,3.38,3.39,84457.0,29143465.0
2024-01-18,600984.SH,3.36,3.38,3.23,3.33,139925.0,46154990.0
2024-01-19,600984.SH,3.33,3.38,3.29,3.3,109350.0,36457993.0
2024-01-22,600984.SH,3.3,3.31,3.06,3.08,186258.0,59064876.0
2024-01-23,600984.SH,3.08,3.13,3.01,3.06,150588.0,46265289.0
2024-01-24,600984.SH,3.09,3.2,3.0,3.19,176526.0,55160886.0
2024-01-25,600984.SH,3.19,3.34,3.16,3.33,149347.0,48677441.0
2024-01-26,600984.SH,3.29,3.4,3.29,3.37,132266.0,44504269.0
2024-01-29,600984.SH,3.39,3.4,3.19,3.2,151062.0,49362061.0
2024-01-30,600984.SH,3.21,3.25,3.1,3.12,138934.0,44034152.0
2024-01-31,600984.SH,3.08,3.12,2.91,2.92,185338.0,55597731.0
2024-02-01,600984.SH,2.92,2.92,2.75,2.78,335687.0,94481465.0
2024-02-02,600984.SH,2.78,2.89,2.56,2.66,240671.0,66034415.0
2024-02-05,600984.SH,2.63,2.67,2.39,2.39,222140.0,53799726.0
2024-02-06,600984.SH,2.21,2.32,2.15,2.19,475873.0,104200103.0
2024-02-07,600984.SH,2.23,2.25,1.97,2.0,492853.0,101381260.0
2024-02-08,600984.SH,1.98,2.2,1.93,2.2,422359.0,88185078.0
2024-02-19,600984.SH,2.38,2.38,2.23,2.3,355147.0,81867498.0
2024-02-20,600984.SH,2.3,2.4,2.26,2.38,226549.0,53264160.0
2024-02-21,600984.SH,2.36,2.57,2.35,2.49,249317.0,62221515.0
2024-02-22,600984.SH,2.48,2.58,2.47,2.55,167857.0,42361296.0
2024-02-23,600984.SH,2.55,2.71,2.55,2.7,252226.0,66605893.0
2024-02-26,600984.SH,2.7,2.9,2.7,2.82,357121.0,100184191.0
2024-02-27,600984.SH,2.76,2.85,2.72,2.82,294811.0,82838355.0
