date,symbol,open,high,low,close,volume,turnover
2026-02-10,688818.SH,80.5,80.88,61.2,65.94,1023585.0,6647187854.0
2026-02-11,688818.SH,66.38,69.2,62.06,62.06,644219.0,4215923839.0
2026-02-12,688818.SH,59.0,61.09,56.41,57.5,522531.0,3053470450.0
2026-02-13,688818.SH,58.01,62.57,57.31,59.0,399907.0,2395089811.0
2026-02-24,688818.SH,58.0,58.0,54.01,55.2,300294.0,1675360324.0
2026-02-25,688818.SH,56.0,62.18,55.12,61.5,468734.0,2746121758.0
2026-02-26,688818.SH,60.51,71.9,60.51,68.39,610467.0,4008183701.0
2026-02-27,688818.SH,68.0,73.5,68.0,70.17,498216.0,3534357168.0
2026-03-02,688818.SH,69.31,74.76,67.49,68.72,452171.0,3181141456.0
2026-03-03,688818.SH,68.01,68.7,59.0,59.28,481893.0,3010106584.0
2026-03-04,688818.SH,58.09,62.5,58.05,61.49,280024.0,1718126562.0
2026-03-05,688818.SH,62.59,62.99,59.49,61.09,274624.0,1673940889.0
2026-03-06,688818.SH,59.88,65.05,58.58,62.07,330910.0,2063847302.0
2026-03-09,688818.SH,60.0,64.58,58.78,63.93,304945.0,1857505286.0
2026-03-10,688818.SH,64.2,69.66,63.53,68.75,402633.0,2657099404.0
2026-03-11,688818.SH,67.55,70.1,66.72,68.75,300683.0,2053076899.0
2026-03-12,688818.SH,67.78,68.8,64.53,65.9,236252.0,1571873963.0
2026-03-13,688818.SH,64.64,66.66,61.99,62.16,199149.0,1276015970.0
2026-03-16,688818.SH,62.01,64.1,60.63,63.63,171364.0,1079666192.0
2026-03-17,688818.SH,64.5,64.94,61.0,61.17,174471.0,1107144828.0
2026-03-18,688818.SH,61.8,67.33,61.23,67.2,374265.0,2444236868.0
2026-03-19,688818.SH,65.02,67.46,64.64,66.0,266630.0,1761033795.0
2026-03-20,688818.SH,66.5,68.97,64.5,64.65,316221.0,2107883766.0
2026-03-23,688818.SH,63.5,68.2,63.47,65.45,295384.0,1954125135.0
2026-03-24,688818.SH,67.0,68.5,61.5,64.45,360149.0,2337361507.0
2026-03-25,688818.SH,64.0,67.0,63.1,64.14,271618.0,1759872568.0
2026-03-26,688818.SH,65.65,65.95,61.05,62.73,252664.0,1583654633.0
2026-03-27,688818.SH,60.8,62.2,58.59,59.89,207705.0,1252454600.0
2026-03-30,688818.SH,58.01,61.62,58.0,61.03,175458.0,1062531264.0
2026-03-31,688818.SH,60.58,63.88,59.0,60.74,248147.0,1537396639.0
2026-04-01,688818.SH,61.98,62.46,59.28,59.98,166274.0,1001076834.0
2026-04-02,688818.SH,59.6,59.96,56.66,57.2,149744.0,870572577.0
2026-04-03,688818.SH,57.9,58.45,55.8,56.6,130541.0,744554985.0
2026-04-07,688818.SH,56.6,57.12,55.36,55.85,87609.0,492374958.0
2026-04-08,688818.SH,57.16,62.95,56.8,62.69,272770.0,1631760285.0
2026-04-09,688818.SH,61.08,61.21,59.8,59.8,155127.0,935133898.0
2026-04-10,688818.SH,60.4,61.15,58.58,58.7,144823.0,865534032.0
2026-04-13,688818.SH,58.01,61.45,57.87,59.8,150950.0,907700784.0
2026-04-14,688818.SH,60.6,65.81,59.86,64.65,323670.0,2056983970.0
2026-04-15,688818.SH,65.95,70.45,65.0,67.08,368822.0,2511875242.0
2026-04-16,688818.SH,66.55,67.99,65.85,67.0,183641.0,1230398509.0
2026-04-17,688818.SH,67.0,70.35,66.01,67.73,232140.0,1573497640.0
2026-04-20,688818.SH,69.0,73.45,69.0,73.03,327101.0,2342908542.0
2026-04-21,688818.SH,72.0,76.38,71.37,73.6,274709.0,2030903902.0
2026-04-22,688818.SH,72.44,72.67,68.94,71.28,210149.0,1483103809.0
2026-04-23,688818.SH,71.03,71.95,68.28,69.72,191394.0,1340612307.0
2026-04-24,688818.SH,69.04,69.64,65.5,66.34,165992.0,1109800440.0
2026-04-27,688818.SH,66.3,67.41,65.68,66.49,118649.0,787582244.0
2026-04-28,688818.SH,66.18,66.21,64.06,64.64,115826.0,752082153.0
2026-04-29,688818.SH,65.94,69.49,65.21,67.65,203056.0,1369146676.0
2026-04-30,688818.SH,67.6,69.1,66.37,68.6,211974.0,1442304181.0
2026-05-06,688818.SH,69.1,71.74,68.69,69.15,219479.0,1538051619.0
2026-05-07,688818.SH,69.16,71.51,68.8,71.37,196739.0,1388829934.0
2026-05-08,688818.SH,70.35,85.64,70.18,85.64,448294.0,3633912593.0
