symbol,name,market,csv
605189.SH,富春染织,A股,..\data\a_share\605189.SH.csv
605289.SH,罗曼股份,A股,..\data\a_share\605289.SH.csv
605055.SH,迎丰股份,A股,..\data\a_share\605055.SH.csv
002580.SZ,圣阳股份,A股,..\data\a_share\002580.SZ.csv
003036.SZ,泰坦股份,A股,..\data\a_share\003036.SZ.csv
002009.SZ,天奇股份,A股,..\data\a_share\002009.SZ.csv
603618.SH,杭电股份,A股,..\data\a_share\603618.SH.csv
600498.SH,烽火通信,A股,..\data\a_share\600498.SH.csv
603311.SH,金海高科,A股,..\data\a_share\603311.SH.csv
002536.SZ,飞龙股份,A股,..\data\a_share\002536.SZ.csv
002091.SZ,江苏国泰,A股,..\data\a_share\002091.SZ.csv
600391.SH,航发科技,A股,..\data\a_share\600391.SH.csv
603045.SH,福达合金,A股,..\data\a_share\603045.SH.csv
600536.SH,中国软件,A股,..\data\a_share\600536.SH.csv
605358.SH,立昂微,A股,..\data\a_share\605358.SH.csv
605006.SH,山东玻纤,A股,..\data\a_share\605006.SH.csv
603738.SH,泰晶科技,A股,..\data\a_share\603738.SH.csv
001333.SZ,光华股份,A股,..\data\a_share\001333.SZ.csv
600078.SH,澄星股份,A股,..\data\a_share\600078.SH.csv
002997.SZ,瑞鹄模具,A股,..\data\a_share\002997.SZ.csv
605086.SH,龙高股份,A股,..\data\a_share\605086.SH.csv
600345.SH,长江通信,A股,..\data\a_share\600345.SH.csv
002259.SZ,升达林业,A股,..\data\a_share\002259.SZ.csv
600545.SH,卓郎智能,A股,..\data\a_share\600545.SH.csv
002918.SZ,蒙娜丽莎,A股,..\data\a_share\002918.SZ.csv
000582.SZ,北部湾港,A股,..\data\a_share\000582.SZ.csv
603758.SH,秦安股份,A股,..\data\a_share\603758.SH.csv
002552.SZ,宝鼎科技,A股,..\data\a_share\002552.SZ.csv
600530.SH,交大昂立,A股,..\data\a_share\600530.SH.csv
002031.SZ,巨轮智能,A股,..\data\a_share\002031.SZ.csv
000036.SZ,华联控股,A股,..\data\a_share\000036.SZ.csv
000863.SZ,三湘印象,A股,..\data\a_share\000863.SZ.csv
002397.SZ,梦洁股份,A股,..\data\a_share\002397.SZ.csv
002520.SZ,日发精机,A股,..\data\a_share\002520.SZ.csv
002030.SZ,达安基因,A股,..\data\a_share\002030.SZ.csv
601991.SH,大唐发电,A股,..\data\a_share\601991.SH.csv
300755.SZ,华致酒行,A股,..\data\a_share\300755.SZ.csv
300129.SZ,泰胜风能,A股,..\data\a_share\300129.SZ.csv
300864.SZ,南大环境,A股,..\data\a_share\300864.SZ.csv
920510.SH,丰光精密,A股,..\data\a_share\920510.SH.csv
688282.SH,理工导航,A股,..\data\a_share\688282.SH.csv
688182.SH,灿勤科技,A股,..\data\a_share\688182.SH.csv
300599.SZ,雄塑科技,A股,..\data\a_share\300599.SZ.csv
920156.SH,海昌智能,A股,..\data\a_share\920156.SH.csv
300905.SZ,宝丽迪,A股,..\data\a_share\300905.SZ.csv
920533.SH,骏创科技,A股,..\data\a_share\920533.SH.csv
300321.SZ,同大股份,A股,..\data\a_share\300321.SZ.csv
300049.SZ,福瑞医科,A股,..\data\a_share\300049.SZ.csv
301000.SZ,肇民科技,A股,..\data\a_share\301000.SZ.csv
920100.SH,三协电机,A股,..\data\a_share\920100.SH.csv
688307.SH,中润光学,A股,..\data\a_share\688307.SH.csv
002008.SZ,大族激光,A股,..\data\a_share\002008.SZ.csv
301595.SZ,太力科技,A股,..\data\a_share\301595.SZ.csv
300901.SZ,中胤时尚,A股,..\data\a_share\300901.SZ.csv
603010.SH,万盛股份,A股,..\data\a_share\603010.SH.csv
300946.SZ,恒而达,A股,..\data\a_share\300946.SZ.csv
003001.SZ,中岩大地,A股,..\data\a_share\003001.SZ.csv
605598.SH,上海港湾,A股,..\data\a_share\605598.SH.csv
300594.SZ,ST朗进,A股,..\data\a_share\300594.SZ.csv
688456.SH,有研粉材,A股,..\data\a_share\688456.SH.csv
300849.SZ,锦盛新材,A股,..\data\a_share\300849.SZ.csv
603418.SH,友升股份,A股,..\data\a_share\603418.SH.csv
300561.SZ,*ST汇科,A股,..\data\a_share\300561.SZ.csv
300570.SZ,太辰光,A股,..\data\a_share\300570.SZ.csv
301261.SZ,恒工精密,A股,..\data\a_share\301261.SZ.csv
002244.SZ,滨江集团,A股,..\data\a_share\002244.SZ.csv
603637.SH,镇海股份,A股,..\data\a_share\603637.SH.csv
002213.SZ,大为股份,A股,..\data\a_share\002213.SZ.csv
920663.SH,明阳科技,A股,..\data\a_share\920663.SH.csv
001278.SZ,一彬科技,A股,..\data\a_share\001278.SZ.csv
301207.SZ,华兰疫苗,A股,..\data\a_share\301207.SZ.csv
301603.SZ,乔锋智能,A股,..\data\a_share\301603.SZ.csv
688568.SH,中科星图,A股,..\data\a_share\688568.SH.csv
688692.SH,达梦数据,A股,..\data\a_share\688692.SH.csv
301089.SZ,拓新药业,A股,..\data\a_share\301089.SZ.csv
301680.SZ,固德电材,A股,..\data\a_share\301680.SZ.csv
300900.SZ,广联航空,A股,..\data\a_share\300900.SZ.csv
301525.SZ,儒竞科技,A股,..\data\a_share\301525.SZ.csv
301328.SZ,维峰电子,A股,..\data\a_share\301328.SZ.csv
300790.SZ,宇瞳光学,A股,..\data\a_share\300790.SZ.csv
920183.SH,海菲曼,A股,..\data\a_share\920183.SH.csv
301687.SZ,新广益,A股,..\data\a_share\301687.SZ.csv
688350.SH,富淼科技,A股,..\data\a_share\688350.SH.csv
301088.SZ,戎美股份,A股,..\data\a_share\301088.SZ.csv
300461.SZ,田中精机,A股,..\data\a_share\300461.SZ.csv
603915.SH,国茂股份,A股,..\data\a_share\603915.SH.csv
920180.SH,爱得科技,A股,..\data\a_share\920180.SH.csv
301319.SZ,唯特偶,A股,..\data\a_share\301319.SZ.csv
603950.SH,长源东谷,A股,..\data\a_share\603950.SH.csv
300518.SZ,新迅达,A股,..\data\a_share\300518.SZ.csv
002428.SZ,云南锗业,A股,..\data\a_share\002428.SZ.csv
605222.SH,起帆电缆,A股,..\data\a_share\605222.SH.csv
301629.SZ,矽电股份,A股,..\data\a_share\301629.SZ.csv
688076.SH,ST诺泰,A股,..\data\a_share\688076.SH.csv
301682.SZ,宏明电子,A股,..\data\a_share\301682.SZ.csv
300507.SZ,苏奥传感,A股,..\data\a_share\300507.SZ.csv
688203.SH,海正生材,A股,..\data\a_share\688203.SH.csv
603608.SH,天创时尚,A股,..\data\a_share\603608.SH.csv
301413.SZ,安培龙,A股,..\data\a_share\301413.SZ.csv
920953.SH,国子软件,A股,..\data\a_share\920953.SH.csv
688229.SH,博睿数据,A股,..\data\a_share\688229.SH.csv
600249.SH,两面针,A股,..\data\a_share\600249.SH.csv
000697.SZ,炼石航空,A股,..\data\a_share\000697.SZ.csv
000700.SZ,模塑科技,A股,..\data\a_share\000700.SZ.csv
603037.SH,凯众股份,A股,..\data\a_share\603037.SH.csv
600743.SH,华远控股,A股,..\data\a_share\600743.SH.csv
688799.SH,华纳药厂,A股,..\data\a_share\688799.SH.csv
300052.SZ,中青宝,A股,..\data\a_share\300052.SZ.csv
688807.SH,优迅股份,A股,..\data\a_share\688807.SH.csv
688757.SH,胜科纳米,A股,..\data\a_share\688757.SH.csv
688178.SH,万德斯,A股,..\data\a_share\688178.SH.csv
688510.SH,航亚科技,A股,..\data\a_share\688510.SH.csv
920111.SH,聚星科技,A股,..\data\a_share\920111.SH.csv
300852.SZ,四会富仕,A股,..\data\a_share\300852.SZ.csv
001313.SZ,粤海饲料,A股,..\data\a_share\001313.SZ.csv
688545.SH,兴福电子,A股,..\data\a_share\688545.SH.csv
300672.SZ,国科微,A股,..\data\a_share\300672.SZ.csv
002943.SZ,宇晶股份,A股,..\data\a_share\002943.SZ.csv
300572.SZ,安车检测,A股,..\data\a_share\300572.SZ.csv
688485.SH,九州一轨,A股,..\data\a_share\688485.SH.csv
920578.SH,巨能股份,A股,..\data\a_share\920578.SH.csv
688820.SH,盛合晶微,A股,..\data\a_share\688820.SH.csv
001331.SZ,胜通能源,A股,..\data\a_share\001331.SZ.csv
603293.SH,埃泰克,A股,..\data\a_share\603293.SH.csv
688418.SH,震有科技,A股,..\data\a_share\688418.SH.csv
301220.SZ,亚香股份,A股,..\data\a_share\301220.SZ.csv
300508.SZ,维宏股份,A股,..\data\a_share\300508.SZ.csv
300718.SZ,长盛轴承,A股,..\data\a_share\300718.SZ.csv
